Depth,AC,CAL,CNL,DEN,GR,PERM,POR,RT,RXO,SW
5461.5,48.68799973,7.418000221,2.269000053,2.710000038,19.89299965,0.001,0.573000014,1819.706,1738.765,99
5461.625,48.66799927,7.513000011,1.983999968,2.713999987,20.00399971,0.001,0.573000014,1683.18,1672.113,100
